date,amount,category,description
15-03-2021,75.50,Expense,Transport  
22-09-2019,45.30,Expense,Food  
30-11-2023,1500.0,Income,Salary  
12-08-2020,200.0,Expense,Utilities  
25-12-2025,300.0,Expense,Gifts
14-02-2024,120.0,Expense,Food  
19-06-2021,450.0,Expense,Travel
27-10-2022,50.0,Expense,ShoppingNew shoes  
01-05-2023,35.20,Expense,FoodCoffee shop  
09-12-2022,1200.0,Income,Freelance payment  
17-04-2021,89.75,Expense,TransportCar maintenance  
23-08-2024,65.0,Expense,EntertainmentConcert tickets  
06-03-2020,150.0,Expense,HealthDoctor's visit  
29-09-2025,80.0,Expense,ShoppingClothing  
11-07-2019,45.60,Expense,FoodTakeout  
22-01-2026,3000.0,Income,Bonus  
14-10-2023,95.0,Expense,UtilitiesInternet bill  
05-02-2022,250.0,Expense,TravelHotel booking  
18-06-2024,70.0,Expense,EntertainmentStreaming subscription  
21-11-2021,55.0,Expense,TransportPublic transit  
03-04-2020,200.0,Expense,GiftsBirthday present  
12-09-2025,40.0,Expense,FoodSnacks  
27-07-2023,180.0,Expense,HealthDental checkup  
08-12-2024,500.0,Expense,Shoppinectronics  
15-03-2022,90.0,Expense,Utilitiesater bill  
30-05-2021,120.0,Expense,Transportaxi fare  
19-10-2020,60.0,Expense,EntertainmentVideo game  
24-02-2026,400.0,Expense,TravelCar rental  